"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","883","should display AddNumber title","","Wed Oct 22 14:19:44 EEST 2025","passed","Wed Oct 22 14:19:45 EEST 2025","","AddNumber App","",""
"","3377","should sum 1 + 2 correctly","","Wed Oct 22 10:23:32 EEST 2025","passed","Wed Oct 22 10:23:35 EEST 2025","","AddNumber App","",""
"","1695","should input 1 to the first field and check it","","Wed Oct 22 10:23:29 EEST 2025","passed","Wed Oct 22 10:23:31 EEST 2025","","AddNumber App","",""
"","3803","should sum 1 + 2 correctly","","Wed Oct 22 14:19:48 EEST 2025","passed","Wed Oct 22 14:19:52 EEST 2025","","AddNumber App","",""
"","871","should display AddNumber title","","Wed Oct 22 10:23:28 EEST 2025","passed","Wed Oct 22 10:23:29 EEST 2025","","AddNumber App","",""
"","1248","should input 2 to the second field and check it","","Wed Oct 22 10:23:31 EEST 2025","passed","Wed Oct 22 10:23:32 EEST 2025","","AddNumber App","",""
"","1289","should input 1 to the first field and check it","","Wed Oct 22 14:19:45 EEST 2025","passed","Wed Oct 22 14:19:47 EEST 2025","","AddNumber App","",""
"","176","should display result label","","Wed Oct 22 10:23:29 EEST 2025","passed","Wed Oct 22 10:23:29 EEST 2025","","AddNumber App","",""
"","169","should display result label","","Wed Oct 22 14:19:45 EEST 2025","passed","Wed Oct 22 14:19:45 EEST 2025","","AddNumber App","",""
"","1289","should input 2 to the second field and check it","","Wed Oct 22 14:19:47 EEST 2025","passed","Wed Oct 22 14:19:48 EEST 2025","","AddNumber App","",""
